State,County,State/County FIPS Code,Alcohol Abuse,Alzheimer's Disease/Dementia,Arthritis ,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis  (Chronic Viral B & C),Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke
Indiana ,Orange ,18117,"19,187.50","22,070.00","14,687.20","23,108.40","25,378.80",0,"19,756.80","25,607.80","22,951.90","18,934.00","15,262.20","25,547.00",0,"28,106.70",0,"15,238.00","14,338.40","18,036.90","24,411.20","24,600.10","29,971.30"
Indiana ,Owen ,18119,"25,756.80","22,131.90","12,983.70","17,742.00","28,161.30",0,"18,370.60","29,950.00","27,954.70","18,787.70","15,165.50","33,676.00",0,"31,791.90","39,530.40","13,970.80","13,801.30","19,604.60","18,817.80","23,782.10","27,375.50"
Indiana ,Parke ,18121,"21,364.70","22,761.60","15,169.70","21,393.60","24,207.10",0,"20,288.60","25,661.30","23,254.40","18,684.40","13,809.70","31,565.60",0,"24,244.70",0,"13,471.40","13,519.00","15,861.50","21,883.40","22,371.50","22,626.70"
Indiana ,Perry ,18123,"14,042.40","23,735.80","14,393.90","20,135.70","24,880.10",0,"18,330.40","25,652.20","23,681.10","17,927.50","14,413.40","19,672.10",0,"24,295.00",0,"14,328.30","14,437.00","16,628.30","16,318.80","28,892.60","28,801.50"
Indiana ,Pike ,18125,"31,055.50","23,055.70","14,054.50","30,319.10","23,439.20",0,"19,640.50","25,116.00","24,829.50","19,656.60","13,888.70","22,875.40",0,"25,506.70","30,345.30","11,506.60","12,539.70","18,514.10","21,981.80","25,893.70","32,282.60"
Indiana ,Porter ,18127,"25,341.60","24,997.30","15,973.80","24,210.60","27,953.60","12,605.70","20,413.30","25,006.70","25,236.70","22,148.50","16,856.40","30,401.50","9,744.40","28,797.60","34,251.70","13,476.60","14,526.40","19,474.20","19,514.40","34,671.20","33,881.50"
Indiana ,Posey ,18129,"25,775.80","19,632.30","15,260.40","22,868.30","24,560.90",0,"17,809.20","24,910.10","22,886.10","19,901.40","15,075.70","17,926.10",0,"27,068.40","8,293.10","13,576.10","13,736.70","18,646.80","20,888.90","27,511.50","27,319.80"
Indiana ,Pulaski ,18131,"29,372.40","23,017.90","14,143.90","19,123.10","22,673.80",0,"22,339.50","23,614.50","24,758.00","18,665.10","14,731.10","20,940.80",0,"25,193.40",0,"12,493.30","13,424.30","17,384.50","17,950.90","29,917.30","24,771.60"
Indiana ,Putnam ,18133,"22,000.60","24,508.80","15,285.30","20,346.60","24,552.00","7,915.70","23,155.50","24,103.20","23,906.40","19,353.40","14,816.70","15,889.90",0,"26,065.20","21,241.30","13,986.10","13,774.30","17,914.10","19,991.60","29,874.00","26,318.90"
Indiana ,Randolph ,18135,"23,561.40","22,536.60","13,743.50","28,005.30","21,345.00",0,"17,682.20","21,851.00","21,439.40","17,611.20","13,029.40","31,949.20",0,"22,865.90","23,645.20","11,888.90","12,116.30","15,668.00","20,095.70","26,571.70","28,113.50"
Indiana ,Ripley ,18137,"16,873.70","21,089.50","13,952.70","22,044.90","24,419.30","7,126.30","19,267.70","23,896.40","22,527.60","18,636.80","14,062.70","18,477.80",0,"25,599.50","23,878.20","12,046.40","12,499.50","17,732.70","21,980.70","21,468.00","24,981.70"
Indiana ,Rush ,18139,"17,825.20","20,991.40","14,826.40","17,841.90","19,708.40",0,"19,930.70","22,817.20","21,248.40","19,689.80","11,804.00","18,593.40",0,"25,420.80",0,"11,048.20","11,500.40","15,597.70","15,921.00","31,615.90","22,520.40"
Indiana ,Scott ,18143,"26,129.00","23,641.80","14,750.50","23,032.30","27,971.80",0,"19,806.80","24,606.80","22,188.70","18,811.20","14,070.30","19,541.60","31,853.30","26,731.60","21,140.10","13,136.10","13,293.00","16,578.20","17,204.90","28,504.00","28,737.10"
Indiana ,Shelby ,18145,"24,245.10","25,216.40","15,913.90","19,928.40","24,869.10",0,"21,641.90","25,322.70","24,394.20","22,188.30","15,678.10","33,647.10",0,"30,765.90","13,182.90","14,505.40","14,919.30","19,012.00","22,654.90","32,235.00","30,477.50"
Indiana ,Spencer ,18147,"26,779.90","20,550.60","13,928.00","17,751.80","17,690.00",0,"18,483.60","22,442.20","20,936.50","16,532.20","11,647.80","32,012.60",0,"21,033.40","42,974.50","10,813.90","12,024.70","15,396.00","20,381.90","23,982.80","18,199.30"
Indiana ,St. Joseph ,18141,"20,708.50","21,508.60","15,126.10","20,961.40","21,209.70","7,430.30","20,169.60","24,741.80","23,931.60","19,253.00","14,753.70","25,648.70","27,150.60","26,495.50","27,041.80","13,227.40","13,645.50","17,837.20","18,426.00","23,578.90","29,346.40"
Indiana ,Starke ,18149,"19,595.40","21,154.90","13,485.00","19,764.70","24,476.30",0,"22,558.60","26,248.60","21,414.30","16,623.20","13,828.90","21,868.10",0,"25,393.20","21,486.70","12,765.90","13,150.90","15,520.50","18,389.50","24,493.80","22,573.20"
Indiana ,Steuben ,18151,"27,542.70","17,080.90","13,343.10","17,746.70","21,562.80",0,"18,334.50","22,530.90","21,046.00","16,219.30","13,755.50","36,252.00",0,"22,388.10",0,"11,393.30","11,731.90","14,810.60","14,219.70","24,961.60","22,192.70"
Indiana ,Sullivan ,18153,"34,869.40","23,165.30","15,441.40","20,566.80","26,827.30",0,"25,032.60","25,441.60","23,593.60","23,036.70","15,458.40","24,689.90",0,"23,476.60",0,"14,212.70","14,443.40","17,695.50","21,400.50","29,246.90","23,291.10"
Indiana ,Switzerland ,18155,"25,447.20","20,897.50","13,783.50","26,049.10","27,284.20",0,"19,445.50","22,121.80","22,654.40","17,333.50","14,960.50","13,040.50",0,"26,795.80",0,"12,801.40","13,069.50","18,296.50","15,889.50","20,460.00","22,175.00"
Indiana ,Tippecanoe ,18157,"23,677.60","21,145.80","16,018.60","21,933.90","24,747.00","11,068.40","19,271.00","20,940.30","25,337.40","18,322.50","15,010.80","25,974.60","31,982.10","27,299.90","29,767.50","12,400.90","13,381.60","18,537.80","20,148.30","24,815.00","27,001.90"
Indiana ,Tipton ,18159,"22,882.10","24,813.90","17,222.30","23,280.50","29,058.30",0,"18,795.60","28,553.10","27,514.80","23,166.90","16,492.60","17,060.20",0,"30,769.00",0,"15,339.10","15,589.70","19,587.30","26,018.40","33,105.80","31,397.30"
