,Alcohol Abuse,Alzheimer's Disease/Dementia,Arthritis ,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis  (Chronic Viral B & C),Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke
count,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
mean,1247901.6092592592,1244555.7481481486,887346.2203703702,1278159.077777778,1367533.7166666666,144119.54074074075,1160400.7444444445,1442478.418518518,1398242.822222222,1130352.0148148146,860903.4629629629,1333630.5240740746,332979.83703703707,1541919.4425925924,917553.425925926,803684.4518518521,812500.5611111111,1051131.9314814818,1128736.7592592593,1353750.7388888886,1654928.7444444443
std,1039373.1512568048,1101454.5623208717,747276.0938032779,1078784.4845079812,1154243.3676984506,121997.204128003,955464.1887846295,1208374.399601416,1171579.5774110025,980076.7260346411,733758.2590472789,1067998.5447203694,321607.852484934,1269222.8543309872,827671.627660722,660988.4759776779,667624.8798452243,862900.4838752908,951600.5114436727,1176625.0100308103,1387197.0334477057
min,16020.3,9201.4,6807.4,11266.8,13761.0,0.0,9413.0,14772.4,13973.9,8469.1,8299.2,16485.1,9760.9,14823.8,23300.3,6468.9,7869.5,10486.8,6276.3,10492.3,16321.5
25%,443601.74999999994,423999.575,297883.275,401901.97500000003,468850.7250000001,49713.50000000001,427575.00000000006,501361.10000000015,472645.29999999993,378307.4750000001,279770.575,528391.9000000001,80809.59999999999,533911.8,250941.225,274196.2,286434.375,373084.9000000001,372748.94999999995,428468.2,573752.8250000001
50%,1116451.7,1133024.2499999998,847093.6000000001,1213899.35,1362551.0500000003,114949.85,1145286.7499999998,1395003.0999999999,1330730.4000000004,1085190.9499999997,828506.75,1130201.95,212078.60000000003,1524115.7000000002,670253.6500000001,795495.7000000002,816572.1000000001,1023352.45,1082028.55,1208436.0499999998,1513915.2999999998
75%,1766826.5,1768534.1749999998,1343888.6500000004,1947782.65,2039321.2249999996,197988.5,1794398.1750000003,2154655.8,2086853.625000001,1657067.55,1295985.125,1921252.3500000003,517461.725,2325507.3999999994,1454654.0,1177007.5500000003,1184041.8000000003,1578283.0999999999,1715627.6750000003,1950043.0,2466372.1499999994
max,5620964.700000001,6484265.700000002,4362041.799999999,6091906.1,6627122.400000002,474540.6,5385515.399999999,7036198.500000004,6884453.699999999,5872815.199999997,4304247.999999998,5326815.299999999,1206617.6999999995,7164035.000000004,4123804.7999999975,3850645.5000000005,3912493.300000002,4926817.399999999,5524740.300000001,6625054.999999999,7778813.0
